Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note,Amount,Currency,Account,total,S.no,AvgAmount,DATE
11/30/2021 10:11,CUB - online payment,Food,,Breakfast,70,Expense,,70,INR,70,105361.88,245,430.0484898,21-10-2022
11/29/2021 20:47,CUB - online payment,Food,,Lunch with company,40,Expense,,40,INR,40,105401.88,246,428.4629268,22-10-2022
11/29/2021 20:47,CUB - online payment,Food,,Dinner,50,Expense,,50,INR,50,105451.88,247,426.9306883,23-10-2022
11/29/2021 20:09,CUB - online payment,Food,,Panipoori,40,Expense,,40,INR,40,105491.88,248,425.3704839,24-10-2022
11/29/2021 9:29,CUB - online payment,Food,,Breakfast,40,Expense,,40,INR,40,105531.88,249,423.8228112,25-10-2022
11/28/2021 19:59,CUB - online payment,Food,,Snack,94,Expense,,94,INR,94,105625.88,250,422.50352,26-10-2022
11/28/2021 13:10,CUB - online payment,Food,,Zomato,269.4,Expense,,269.4,INR,269.4,105895.28,251,421.8935458,27-10-2022
11/27/2021 23:14,CUB - online payment,Food,,Dinner with gowdham,120,Expense,,120,INR,120,106015.28,252,420.6955556,28-10-2022
11/27/2021 22:34,CUB - online payment,Food,,Dinner with gowdham,130,Expense,,130,INR,130,106145.28,253,419.5465613,29-10-2022
11/27/2021 18:41,CUB - online payment,Transportation,,Rapido,35,Expense,,35,INR,35,106180.28,254,418.0325984,30-10-2022
11/27/2021 13:46,CUB - online payment,Food,,Lunch with company,75,Expense,,75,INR,75,106255.28,255,416.6873725,31-10-2022
11/27/2021 13:46,CUB - online payment,Allowance,,From dad,2000,Income,,2000,INR,2000,108255.28,256,422.8721875,01-11-2022
11/27/2021 9:33,CUB - online payment,Food,,Breakfast,30,Expense,,30,INR,30,108285.28,257,421.3435019,02-11-2022
11/26/2021 21:56,CUB - online payment,Food,,Beer,150,Expense,,150,INR,150,108435.28,258,420.2917829,03-11-2022
11/26/2021 20:57,CUB - online payment,Food,,Snack,102,Expense,,102,INR,102,108537.28,259,419.0628571,04-11-2022
11/26/2021 20:15,CUB - online payment,Food,,Panipoori,40,Expense,,40,INR,40,108577.28,260,417.6049231,05-11-2022
11/26/2021 14:14,CUB - online payment,Petty cash,,Cashback,3,Income,,3,INR,3,108580.28,261,416.0163985,06-11-2022
11/26/2021 14:14,CUB - online payment,Food,,Lunch with company,150,Expense,,150,INR,150,108730.28,262,415.0010687,07-11-2022
11/26/2021 9:22,CUB - online payment,Food,,Breakfast,60,Expense,,60,INR,60,108790.28,263,413.6512548,08-11-2022
11/25/2021 20:27,CUB - online payment,Food,,Lunch with company,145,Expense,,145,INR,145,108935.28,264,412.6336364,09-11-2022
11/25/2021 20:27,CUB - online payment,Transportation,,Rapido,58,Expense,,58,INR,58,108993.28,265,411.2953962,10-11-2022
11/25/2021 20:27,CUB - online payment,Food,,Dinner,95,Expense,,95,INR,95,109088.28,266,410.1063158,11-11-2022
11/24/2021 19:26,CUB - online payment,Food,,Snack,15,Expense,,15,INR,15,109103.28,267,408.6265169,12-11-2022
11/24/2021 19:23,CUB - online payment,Food,,Dinner,70,Expense,,70,INR,70,109173.28,268,407.3629851,13-11-2022
11/24/2021 19:06,CUB - online payment,Food,,Panipoori,20,Expense,,20,INR,20,109193.28,269,405.922974,14-11-2022
11/24/2021 19:06,CUB - online payment,Transportation,,Rapido,58,Expense,,58,INR,58,109251.28,270,404.6343704,15-11-2022
11/23/2021 22:53,CUB - online payment,Transportation,,Rapido,50,Expense,,50,INR,50,109301.28,271,403.3257565,16-11-2022
11/23/2021 22:53,CUB - online payment,Food,,Dinner,179,Expense,,179,INR,179,109480.28,272,402.5010294,17-11-2022
11/22/2021 14:16,CUB - online payment,Food,,Dinner,90,Expense,,90,INR,90,109570.28,273,401.356337,18-11-2022
11/22/2021 14:16,CUB - online payment,Food,,Lunch with company,97,Expense,,97,INR,97,109667.28,274,400.2455474,19-11-2022
11/21/2021 17:07,CUB - online payment,Transportation,,Rapido,130,Expense,,130,INR,130,109797.28,275,399.2628364,20-11-2022
11/21/2021 15:50,CUB - online payment,Food,,Lunch,875,Expense,,875,INR,875,110672.28,276,400.9865217,21-11-2022
11/21/2021 13:30,CUB - online payment,Other,,Got from gobi,2000,Income,,2000,INR,2000,112672.28,277,406.7591336,22-11-2022
